нули,время,давление
0,0,0
0,2000,5.22638e+06
0,4000,5.22577e+06
0,6000,5.22517e+06
0,8000,5.22456e+06
0,10000,5.22396e+06
0,12000,5.22335e+06
0,14000,5.22275e+06
0,16000,5.22214e+06
0,18000,5.22154e+06
0,20000,5.22093e+06
0,22000,5.22093e+06
0,24000,5.22093e+06
0,26000,5.22093e+06
0,28000,5.22093e+06
0,30000,5.22093e+06
0,32000,5.22093e+06
0,34000,5.22093e+06
0,36000,5.22093e+06
0,38000,5.22093e+06
0,40000,5.22093e+06
0,42000,5.22093e+06
0,44000,5.22093e+06
0,46000,5.22093e+06
0,48000,5.22093e+06
0,50000,5.22093e+06
0,52000,5.22093e+06
0,54000,5.22093e+06
0,56000,5.22093e+06
0,58000,5.22093e+06
0,60000,5.22093e+06
0,62000,5.22093e+06
0,64000,5.22093e+06
0,66000,5.22093e+06
0,68000,5.22093e+06
0,70000,5.22093e+06
0,72000,5.22093e+06
0,74000,5.22093e+06
0,76000,5.22093e+06
0,78000,5.22093e+06
0,80000,5.22093e+06
0,82000,5.22093e+06
0,84000,5.22093e+06
0,86000,5.22093e+06
0,88000,5.22093e+06
0,90000,5.22093e+06
0,92000,5.22093e+06
0,94000,5.22093e+06
0,96000,5.22093e+06
0,98000,5.22093e+06
0,100000,5.22093e+06
0,102000,5.22093e+06
0,104000,5.22093e+06
0,106000,5.22093e+06
0,108000,5.22093e+06
0,110000,5.22093e+06
0,112000,5.22093e+06
0,114000,5.22093e+06
0,116000,5.22093e+06
0,118000,5.22093e+06
0,120000,5.22093e+06
0,122000,5.22093e+06
0,124000,5.22093e+06
0,126000,5.22093e+06
0,128000,5.22093e+06
0,130000,5.22093e+06
0,132000,5.22093e+06
0,134000,5.22093e+06
0,136000,5.22093e+06
0,138000,5.22093e+06
0,140000,5.22093e+06
0,142000,5.22093e+06
0,144000,5.22093e+06
0,146000,5.22093e+06
0,148000,5.22093e+06
0,150000,5.22093e+06
0,152000,5.22093e+06
0,154000,5.22093e+06
0,156000,5.22093e+06
0,158000,5.22093e+06
0,160000,5.22093e+06
0,162000,5.22093e+06
0,164000,5.22093e+06
0,166000,5.22093e+06
0,168000,5.22093e+06
0,170000,5.22093e+06
0,172000,5.22093e+06
0,174000,5.22093e+06
0,176000,5.22093e+06
0,178000,5.22093e+06
0,180000,5.22093e+06
0,182000,5.22093e+06
0,184000,5.22093e+06
0,186000,5.22093e+06
0,188000,5.22093e+06
0,190000,5.22093e+06
0,192000,5.22093e+06
0,194000,5.22093e+06
0,196000,5.22093e+06
0,198000,5.22093e+06
0,200000,5.22093e+06
0,202000,5.22093e+06
0,204000,5.22154e+06
0,206000,5.22214e+06
0,208000,5.22275e+06
0,210000,5.22335e+06
0,212000,5.22396e+06
0,214000,5.22456e+06
0,216000,5.22517e+06
0,218000,5.22577e+06
0,220000,5.22638e+06
